# Wilo-Varios PICO-STG 25/1-8 Kennliniendaten (WebPlotDigitizer Export)
# Modus: iPWM GT (Heizung: 5% = n_max / Vollast, 85% = n_min / Teillast)
# Q = Volumenstrom in [m³/h] (X-Achse)
# H = Förderhöhe in [m] (Y-Achse für Spalten 5..85)
# P = Leistungsaufnahme P1 in [W] (Y-Achse für Spalten 5p..85p)
#
5_Q_m3h,5_H_m,15_Q_m3h,15_H_m,25_Q_m3h,25_H_m,35_Q_m3h,35_H_m,45_Q_m3h,45_H_m,55_Q_m3h,55_H_m,65_Q_m3h,65_H_m,75_Q_m3h,75_H_m,85_Q_m3h,85_H_m,5p_Q_m3h,5p_P_W,15p_Q_m3h,15p_P_W,25p_Q_m3h,25p_P_W,35p_Q_m3h,35p_P_W,45p_Q_m3h,45p_P_W,55p_Q_m3h,55p_P_W,65p_Q_m3h,65p_P_W,75p_Q_m3h,75p_P_W,85p_Q_m3h,85p_P_W
2.1989005497251366,5.592944369063771,1.9965017491254369,5.861601085481682,1.9965017491254369,4.420624151967434,1.9940029985007495,3.0162822252374486,1.9965017491254369,1.8561736770691972,2.3188405797101446,0.6105834464043411,,,,,,,2.0018274219106122,74.56521739130434,2.0017358473159823,71.63043478260869,2.0011728331415917,53.586956521739125,2.0006640853936486,37.282608695652186,2.000274045453559,24.782608695652186,1.9999755801080985,15.217391304347814,,,,,,
2.393803098450774,5.116689280868384,2.2013993003498245,5.592944369063771,2.1989005497251366,4.249660786974219,2.1989005497251366,2.8819538670284937,2.1989005497251366,1.6607869742198087,0.994502748625687,1.477611940298507,,,,,,,2.2040071685949334,74.02173913043478,2.2039902103366686,73.4782608695652,2.2059471933404238,56.19565217391305,2.20541470403091,39.13043478260872,2.2000050196444465,25.760869565217405,2.2021722850506844,15.217391304347814,,,,,,
2.6011994002998495,4.677069199457258,2.3963018490754617,5.104477611940297,2.3988005997001496,4.09090909090909,2.3988005997001496,2.6865671641791034,2.3963018490754617,1.5142469470827677,,,,,,,,,2.401191012394452,73.3695652173913,2.403687268011027,73.3695652173913,2.4007331394213027,58.69565217391305,2.400170125246912,40.65217391304347,2.402228857800256,26.630434782608717,2.3244888102628662,15.217391304347814,,,,,,
2.7986006996501747,4.298507462686566,2.6011994002998495,4.677069199457258,2.6011994002998495,3.8833107191316136,2.6011994002998495,2.46675712347354,2.6011994002998495,1.3188602442333774,,,,,,,,,2.605877189650307,73.15217391304347,2.605873797998654,73.04347826086955,2.605504107968482,61.19565217391305,2.6049105689292147,42.17391304347825,2.6069319933143764,26.956521739130437,,,,,,,,
3.0034982508745625,3.9199457259158734,2.796101949025487,4.286295793758479,2.8010994502748616,3.687924016282224,2.7986006996501747,2.2591587516960647,2.7986006996501747,1.111261872455902,,,,,,,,,2.8005851277431675,73.15217391304347,2.80307799170809,73.04347826086955,2.8027795263626296,63.47826086956522,2.7996558151902575,43.36956521739131,2.8016467147105426,27.17391304347825,,,,,,,,
3.1984007996001997,3.602442333785617,3.0034982508745625,3.9321573948439603,3.0034982508745625,3.443690637720488,3.0034982508745625,2.0393487109905024,3.0034982508745625,0.8426051560379921,,,,,,,,,3.0077845188738634,73.4782608695652,3.0077811272222106,73.3695652173913,3.005040672686622,65.54347826086956,3.00437251731099,44.13043478260872,3.0038366363498232,26.956521739130437,,,,,,,,
3.393303348325836,3.2849389416553585,3.1984007996001997,3.59023066485753,3.2008995502248876,3.1994572591587502,3.1984007996001997,1.7951153324287645,,,,,,,,,,,3.2000063763051076,73.80434782608695,3.202506023573336,73.91304347826086,3.204791996787428,67.17391304347827,3.2015970609303435,44.78260869565216,,,,,,,,,,
3.600699650174912,2.9308005427408403,3.395802098950524,3.2727272727272716,3.395802098950524,2.9308005427408403,3.398300849575212,1.5508819538670267,,,,,,,,,,,3.399723783889383,74.34782608695652,3.397224136621155,74.23913043478261,3.3995440263517764,68.58695652173913,3.398814821246391,45.217391304347814,,,,,,,,,,
3.798100949525237,2.588873812754409,3.6031984007995996,2.9430122116689272,3.798100949525237,2.369063772048845,3.6031984007995996,1.2700135685210299,,,,,,,,,,,3.6044269194035032,74.67391304347827,3.6044269194035032,74.67391304347827,3.6042776867307733,69.8913043478261,3.6034976068505933,44.89130434782609,,,,,,,,,,
4.000499750124937,2.222523744911804,3.798100949525237,2.601085481682496,4.000499750124937,2.0515603799185893,3.7031484257871066,1.0990502035278151,,,,,,,,,,,3.799124682541406,74.34782608695652,3.801617546506328,74.23913043478261,3.7989991914302466,70.32608695652175,3.7108365983633242,44.89130434782609,,,,,,,,,,
